"","X.2","X.1","X","run_id","timestamp_new","longitude","latitude","pm_ch1_perL","pm_ch2_perL","pm_ch3_perL","pm_ch4_perL","pm_ch5_perL","pm_ch6_perL","point_geojson","line_geojson","no_ppb_8sMedian","no2_ppb_8sMedian","o3_ppb_8sMedian","o3_ppb_32sMedian","co_ppm__8sMedian","co2_ppm_8sMedian","pm25_8sMedian","pnc_ch1_w8_rolling_median","pnc_ch2_w8_rolling_median","pnc_ch3_w8_rolling_median","pnc_ch4_w8_rolling_median","pnc_ch5_w8_rolling_median","pnc_ch6_w8_rolling_median","datetime_y","datetime_m","datetime_d","datetime_h","datetime_min","datetime_sec","datetime_wd","date_m","wday","NO2_8s","O3_8s","CO_8s","Date"
"275918",275918,275918,389521,"20220117_101126_L15670","2022-01-17 10:23:21",-6.31591479846806,53.3429662475072,83160,12900,4020,960,540,180,"[-6.31591479846806,53.3429662475072]","[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072]",4.8,50.2495,1.4,1.4,0.6595,631.694,21.9691412144753,81390,12840,3540,1050,600,270,2022,1,17,10,23,21,"Mon","Jan","Mon",105.28216875,2.79398,0.7559189,"2022-01-17"
"275919",275919,275919,389522,"20220117_101126_L15670","2022-01-17 10:23:29",-6.31591479846806,53.3429662475072,76440,10620,3480,780,660,240,"[-6.31591479846806,53.3429662475072]","[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072],[-6.31591479846806,53.3429662475072]",4.8,51.387,1.4,1.4,0.6585,627.4745,20.0273798978914,81300,12420,3570,1020,480,240,2022,1,17,10,23,29,"Mon","Jan","Mon",107.4576375,2.79398,0.7547727,"2022-01-17"
"275920",275920,275920,389523,"20220117_101126_L15670","2022-01-17 10:23:37",-6.31627001839226,53.3429431711638,76260,11760,3000,780,600,180,"[-6.31627001839226,53.3429431711638]","[-6.3159147929643,53.3429662474317],[-6.31591454773775,53.3429662563826],[-6.31592678994084,53.3429654292312],[-6.31596558679425,53.3429630266068],[-6.31602850636204,53.3429591499613],[-6.31610643914579,53.3429539127607],[-6.31618861417065,53.3429484730247],[-6.31627001839226,53.3429431711638]",284.763,56.989,1.4,1.4,0.664,631.891,18.7641995698005,77430,11820,3390,990,330,300,2022,1,17,10,23,37,"Mon","Jan","Mon",653.6007,2.79398,0.7610768,"2022-01-17"
"275921",275921,275921,389524,"20220117_101126_L15670","2022-01-17 10:23:45",-6.31708709264915,53.3428902147513,87240,13080,3720,960,600,120,"[-6.31708709264915,53.3428902147513]","[-6.31635481511838,53.3429373269643],[-6.31644912551691,53.3429310390443],[-6.31655461443019,53.3429238485313],[-6.31666440956893,53.3429155791163],[-6.31677009289247,53.3429079400504],[-6.31686844526319,53.3429028032274],[-6.31697196314674,53.3428971448417],[-6.31708709264915,53.3428902147513]",868.1275,77.597,1.4,1.4,0.7,709.616,20.5481685162361,87600,13740,4710,1440,570,150,2022,1,17,10,23,45,"Mon","Jan","Mon",1808.69810625,2.79398,0.80234,"2022-01-17"
"275922",275922,275922,389525,"20220117_101126_L15670","2022-01-17 10:23:53",-6.3182573775447,53.3427977472098,77520,10080,2460,900,300,360,"[-6.3182573775447,53.3427977472098]","[-6.31721053526688,53.3428826568541],[-6.31734055386245,53.3428743375997],[-6.31747613181771,53.3428651512114],[-6.31761952812981,53.3428556771784],[-6.31777367806583,53.3428440983721],[-6.31793420513235,53.3428275190345],[-6.31809689796116,53.3428098458173],[-6.3182573775447,53.3427977472098]",1093.894,77.532,1.4,1.4,0.759,732.369,18.920316969179,83340,11130,2850,1260,360,300,2022,1,17,10,23,53,"Mon","Jan","Mon",2240.352225,2.79398,0.8699658,"2022-01-17"
"275923",275923,275923,389526,"20220117_101126_L15670","2022-01-17 10:24:01",-6.3197048459193,53.3427196884428,77220,10380,2820,900,240,300,"[-6.3197048459193,53.3427196884428]","[-6.31841417571307,53.342791210467],[-6.31857445750539,53.3427856875579],[-6.31874793027338,53.3427787118469],[-6.31893163465245,53.3427700624967],[-6.3191157427975,53.3427595325069],[-6.31930420003004,53.3427466289],[-6.31950193984208,53.34273307361],[-6.3197048459193,53.3427196884428]",366.441,65.937,1.4,1.4,0.717,709.541,18.4808298157301,74490,10500,2820,870,540,300,2022,1,17,10,24,1,"Mon","Jan","Mon",826.922925,2.79398,0.8218254,"2022-01-17"
"275924",275924,275924,389527,"20220117_101126_L15670","2022-01-17 10:24:09",-6.32138355425036,53.3425535103854,69000,9060,2100,1620,480,300,"[-6.32138355425036,53.3425535103854]","[-6.31990970453225,53.3427059173114],[-6.32011702264181,53.3426903279106],[-6.32032613383418,53.3426730104514],[-6.32053677136336,53.3426535767966],[-6.32074877303237,53.3426313122214],[-6.32096119672957,53.3426068097559],[-6.32117283067258,53.342580588261],[-6.32138355425036,53.3425535103854]",4.8,50.141,1.4,1.4,0.6865,651.199,16.5786420392636,70980,8820,2430,810,420,240,2022,1,17,10,24,9,"Mon","Jan","Mon",105.0746625,2.79398,0.7868663,"2022-01-17"
"275925",275925,275925,389528,"20220117_101126_L15670","2022-01-17 10:24:17",-6.32306755390433,53.3423225737263,72540,9780,2040,660,120,120,"[-6.32306755390433,53.3423225737263]","[-6.32159381273491,53.3425268600069],[-6.32180204690721,53.3424991717955],[-6.32200921772052,53.3424709625105],[-6.32221742888946,53.3424421448653],[-6.32242771397769,53.3424132821204],[-6.32264085146167,53.3423833079414],[-6.32285335150163,53.3423530986465],[-6.32306755390433,53.3423225737263]",4.8,47.334,1.4,1.4,0.669,634.823,16.4399109898774,72690,9390,2100,690,330,270,2022,1,17,10,24,17,"Mon","Jan","Mon",99.706275,2.79398,0.7668078,"2022-01-17"
"275926",275926,275926,389530,"20220117_101126_L15670","2022-01-17 10:24:33",-6.32471945378745,53.3417827175322,79680,8160,2640,540,480,300,"[-6.32471945378745,53.3417827175322]","[-6.32480186334087,53.3420640783118],[-6.3248925998686,53.3420416601677],[-6.32496786504893,53.3420073335768],[-6.32500457350185,53.3419635370324],[-6.32499949374859,53.3419129365583],[-6.32494791314096,53.3418660727823],[-6.32485063972061,53.3418256540737],[-6.32471945378745,53.3417827175322]",4.8,44.5465,1.4,1.4,0.6965,627.317,16.6725721103665,74520,9000,2310,990,360,180,2022,1,17,10,24,33,"Mon","Jan","Mon",94.37518125,2.79398,0.7983283,"2022-01-17"
"275927",275927,275927,389533,"20220117_101126_L15670","2022-01-17 10:24:57",-6.32020942829135,53.3416167823252,86040,10620,2100,840,540,360,"[-6.32020942829135,53.3416167823252]","[-6.32131533830355,53.3415431858647],[-6.32113712373917,53.3415493058029],[-6.32095770799419,53.3415553128008],[-6.32078659375717,53.3415641259068],[-6.32062714876204,53.3415760924147],[-6.320478826054,53.3415907928616],[-6.3203391164757,53.3416058261718],[-6.32020942829135,53.3416167823252]",4.8,54.6815,1.4,1.4,0.799,652.265,18.2538038726653,86520,10830,2310,870,420,240,2022,1,17,10,24,57,"Mon","Jan","Mon",113.75836875,2.79398,0.9158138,"2022-01-17"
